id,center_name,address,area,area_id,crm_center_id,crm_area_id,city_id,state_id,country_id,pincode,latitude,longitude,phone_number,status,created_by,updated_by,created_at,updated_at
88,Worli,"502,Bengal Chemical Building,Veer Savarkar Roadprabhadevi,Mumbai, Maharashtra",Worli,NULL,INMHMUM06,NULL,2707,22,82,400025,19.0133374,72.8235831,"02224334036 ,9892161133",1,1,0,7/26/2017 10:19,NULL
89,Marine Drive,"Nkm International House, Backbay Hall, (Near Hotel Marine Palaza), Babubhai Chenoy Road Nariman Point, Marine Drivemumbai, Maharashtra",Marine Drive,NULL,INMHMUM02,NULL,2707,22,82,400020,18.925609,72.8208623,"022 - 22023695, 22023696, 22023688, 22819325, 22819326",1,1,0,7/26/2017 10:19,NULL
90,Mysore,"1St & 2Nd Floor,Shree Ganesh Arcade,Kalidasa Road Vv Mohalla,Mysore, Karnataka",Mysore,NULL,INKRMSR01,NULL,1750,17,82,570002,12.3242089,76.6235942,0821-4252621/22/23,1,1,0,7/26/2017 10:19,NULL
91,Jaripatka,"4/1, J. P. Heights, Byramji Town, Jaripatka, Nagpurnagpur, Maharashtra",Jaripatka,NULL,INMHNPR02,NULL,2715,22,82,440013,21.1745395,79.0815608,"0712 - 6603221 / 23, 3252993",1,1,0,7/26/2017 10:19,NULL
92,Gokulpeth,"32, Mangalam Marvel, West Highcourt Road, Gokulpeth, Nagpurnagpur, Maharashtra",Gokulpeth,NULL,INMHNPR01,NULL,2715,22,82,440010,21.1745251,79.0137086,"0712 - 2540818, 2558992, 3252996, 9326930965, 9822697485",1,1,0,7/26/2017 10:19,NULL
93,Nasik,"Padmadarshan Palace, Plot No. 41, Nr. Jehan Circle, Gangapur Road, Nasiknasik, Maharashtra",Nasik,NULL,INMHNSK01,NULL,2724,22,82,422009,20.011596,73.7538362,"0253 - 2347222 / 333 / 111, 9923477399",1,1,0,7/26/2017 10:19,NULL
94,Kharghar,"Hall No. 2, First Floor, Bhoomi Tower, Plot No 28, Sector 4, Above State Bank Of Patiala, Khargharnavi Mumbai, Maharashtra",Kharghar,NULL,INMHMUM20,NULL,2726,22,82,410210,19.0341163,73.0617213,"022 - 27746901 / 02 / 03, 9820426732",1,1,0,7/26/2017 10:19,NULL
95,Sector 18,"5Th Floor, Som Datt Tower, Sector 18,Noida, Uttar Pradesh",Sector 18,NULL,INUPNDA01,NULL,5022,38,82,201301,28.571474,77.3198503,"0120-2510787/88,0120-4125787,0120-2511205",1,1,0,7/26/2017 10:19,NULL
96,Bailey Road,"3Rd And 4Th Floor, Kanak Business Center, Vijay Nagar More, Near Flyover, Bailey Roadpatna, Bihar",Bailey Road,NULL,INBHPTN01,NULL,563,5,82,800014,25.6130312,85.12073,"0612-2590110/22,3297150",1,1,0,7/26/2017 10:19,NULL
97,Dak Bunglow,"3Rd Floor, Nutan Palaza Bandar Bagicha, New Dak Bunglow Roadpatna, Bihar",Dak Bunglow,NULL,INBHPTN03,NULL,563,5,82,800001,25.623217,85.1296313,"0612 - 2207598 / 99, 9693254975",1,1,0,7/26/2017 10:19,NULL
